group_code,entity_code,member_first_name,member_last_name,title,position,start_date,end_date
council,mn1901,Aaron,Wagner,Council Member,Ward 4,2000-01-01,,
hrc,mn1901,Carlos,Smith,Member,At Large,2000-01-01,,
sen,mn1901,Carol,Kile,Member,At Large,2000-01-01,,
sus,mn1901,Carol,Myers,Member,,2000-01-01,,
staff,mn1901,Chase,Peterson-Etem,City Clerk,,2000-01-01,,
chart,mn1901,Chris,Berg,Member,At Large,2000-01-01,,
sus,mn1901,Chris,Lyng,Member,,2000-01-01,,
sen,mn1901,Claudia,Fuglie,Member,At Large,2000-01-01,,
hrc,mn1901,Courtney,Kirkeeng,Member,At Large,2000-01-01,,
prf,mn1901,Damien,Rochon-Washington,Member,Ward 4,2000-01-01,,
prf,mn1901,Daniel,Hickman,Member,At Large,2000-01-01,,
sen,mn1901,David,Bjorkquist,Member,At Large,2000-01-01,,
prf,mn1901,Denise,Beck,Member,Ward 3,2000-01-01,,
chart,mn1901,Dennis,Motl,Member,At Large,2000-01-01,,
sen,mn1901,Diane,Jorde,Member,At Large,2000-01-01,,
chart,mn1901,Dustin,Leslie,Member,At Large,2000-01-01,,
sus,mn1901,Erin,Hart,Member,,2000-01-01,,
staff,mn1901,Heather,Rand,Community Development Director,,2000-01-01,,
plan,mn1901,Jane,Montemayor,Member,Ward 4,2000-01-01,,
council,mn1901,Jason,Greenberg,Council Member,Ward 2,2000-08-01,2025-01-07,,
chart,mn1901,Jeff,Mueller,Member,At Large,2000-01-01,,
hrc,mn1901,Jen,Birkhofer,Member,At Large,2000-01-01,,
Staff,mn1901,Joanna,Brookes,Human Resources/Risk Management Manager,,2000-01-01,,
staff,mn1901,Joanna,Brookes,Human Resources/Risk Management Manager,,2000-01-01,,
chart,mn1901,Jonathan,Hansen,Member,At Large,2000-01-01,,
hrc,mn1901,Jonathan,Hansen,Vice Chair,At Large,2000-01-01,,
sus,mn1901,Jonathan,Hansen,Member,,2000-01-01,,
hrc,mn1901,Julie,Ralston-Aoki,Member,At Large,2000-01-01,,
plan,mn1901,Julie,Ralston-Aoki,Member,Ward 2,2000-01-01,,
staff,mn1901,Kayla,Kirtz,Sustainability Coordinator,,2000-01-01,,
chart,mn1901,Kelly,Groehler,Member,At Large,2000-01-01,,
hrc,mn1901,Krystyn,Lee,Chair,At Large,2000-01-01,,
chart,mn1901,Larrin,Bergman,Member,At Large,2000-01-01,,
plan,mn1901,Lucas,Harris,Member,Ward 1,2000-01-01,,
sus,mn1901,Mardell,Presler,Member,,2000-01-01,,
sen,mn1901,Mary,Mennenga,Member,At Large,2000-01-01,,
Staff,mn1901,Matt,Bazyk,Recreation Services Manager,,2000-01-01,,
sus,mn1901,Megan,Hanzel,Member,,2000-01-01,,
prf,mn1901,Melissa,Markfort,Member,Ward 1,2000-01-01,,
council,mn1901,Mia,Parisian,Council Member,Ward 3,2000-01-01,,
chart,mn1901,Michael,Scanlon,Member,At Large,2000-01-01,,
chart,mn1901,Michael,Meehan,Member,At Large,2000-01-01,,
prf,mn1901,Michelle,Vaith,Member,At Large,2000-01-01,,
hrc,mn1901,Molly,Beahan,Member,At Large,2000-01-01,,
prf,mn1901,Nicholas,Erdos-Thayer,Member,At Large,2000-01-01,,
sus,mn1901,Nick,Heid,Member,,2000-01-01,,
chart,mn1901,Patrick,Nailon,Member,At Large,2000-01-01,,
hrc,mn1901,Patrick,Nailon,Member,At Large,2000-01-01,,
plan,mn1901,Rebecca,Allen,Member,Ward 3,2000-01-01,,
council,mn1901,Regan,Murphy,Council Member,Ward 1,2000-01-01,2025-01-07,,
staff,mn1901,Richard,McCoy,City Engineer/Public Works,,2000-01-01,,
hrc,mn1901,Rita,Fox,Member,At Large,2000-01-01,,
sus,mn1901,Sadie,Pendaz-Foster,Member,,2000-01-01,,
hrc,mn1901,Sarah,Vanausdall-Smith,Member,At Large,2000-01-01,,
chart,mn1901,Scott,Allen,Member,At Large,2000-01-01,,
sus,mn1901,Spencer,Greenberg,Member,,2000-01-01,,
staff,mn1901,Stephan,Papiz,City Forester/Natural Resources Specialist,,2000-01-01,,
plan,mn1901,Susan,Carlson Weinberg,Member,At Large,2000-01-01,,
staff,mn1901,Tim,Sandvik,City Manager,,2000-01-01,,
staff,mn1901,Will,Bucheger,Assistant Planner,,2000-01-01,,
council,mn1901,William,Blonigan,Mayor,Mayor,2000-01-01,2025-01-07,,
prf,mn1901,,Vacant,Member,Ward 2,2000-01-01,,